Supplementary Table S5: Genomes and all associated information used herein for comparisons (na: not available).											
											
Genus	species (GTDB)	Isolate/MAG	Genome name	Isolation source	Strain	Culture collections	ncbi taxonomy	link			
Methanobrevibacter	smithii_A	MAG	GUT_GENOME251364_Mbb_smithii_A	Human							
Methanobrevibacter	smithii_A	MAG	GUT_GENOME258505_Mbb_smithii_A	Human							
Methanobrevibacter	smithii_A	MAG	GUT_GENOME272533_Mbb_smithii_A	Human							
Methanobrevibacter	smithii_A	MAG	GUT_GENOME284192_Mbb_smithii_A	Human							
Methanobrevibacter	smithii_A	MAG	GUT_GENOME285252_Mbb_smithii_A	Human							
Methanobrevibacter	sp. 	MAG	GUT_GENOME264147_Mbb_sp	Human							
Methanobrevibacter	sp. 	MAG	GUT_GENOME014311_Mbb_sp	Human		na					
Methanobrevibacter	sp. 	MAG	GUT_GENOME029117_Mbb_sp	Human		na					
Methanobrevibacter	sp. 	MAG	GUT_GENOME236870_Mbb_sp	Human		na					
Methanobrevibacter	thaueri	Isolate	GCA_003111625_Mbb_thaueri_isolate	Cattle		DSM 11995T ( GCM10005879 ) ;  CWT ;  DSM 11955T ;  OCM 817T ;  		https://www.ncbi.nlm.nih.gov/assembly/GCF_003111625.1/			
Methanobrevibacter	woesei	Isolate	GCA_003111605_Mbb_woesei_isolate	Goose		OCM 815T ;  DSM 11979T ( GCM10005878 ) ;  GST ;  		https://www.ncbi.nlm.nih.gov/assembly/GCF_003111605.1/			
Methanobrevibacter	woesei	MAG	GUT_GENOME263468_Mbb_woesei	Human							
Methanobrevibacter	wolinii	Isolate	GCA_000621965-1_Mbb_wolinii_isolate	Sheep	SH 	SHT ( GCM10002361 ) ;  DSM 11976T ;  OCM 814T ;  ATCC BAA-1170T ;  		https://www.ncbi.nlm.nih.gov/assembly/GCF_000621965.1/			
